open_time_ms,open,high,low,close,volume,close_time_ms
1769385600000,2816.90000000,2837.36000000,2812.37000000,2833.15000000,10658.60340000,1769386499999
1769386500000,2833.16000000,2842.65000000,2829.36000000,2833.21000000,6818.40840000,1769387399999
1769387400000,2833.21000000,2834.04000000,2825.05000000,2832.94000000,4771.30740000,1769388299999
1769388300000,2832.95000000,2847.26000000,2830.20000000,2841.65000000,9135.42080000,1769389199999
1769389200000,2841.66000000,2876.34000000,2838.62000000,2868.18000000,11373.81310000,1769390099999
1769390100000,2868.18000000,2882.33000000,2865.94000000,2875.45000000,7824.88870000,1769390999999
1769391000000,2875.46000000,2883.30000000,2874.07000000,2882.93000000,4653.04330000,1769391899999
1769391900000,2882.93000000,2898.76000000,2879.53000000,2882.69000000,11966.50380000,1769392799999
1769392800000,2882.70000000,2883.79000000,2867.32000000,2870.63000000,5722.38640000,1769393699999
1769393700000,2870.61000000,2883.19000000,2869.21000000,2880.79000000,2800.73290000,1769394599999
1769394600000,2880.80000000,2885.39000000,2868.12000000,2868.12000000,5774.39960000,1769395499999
1769395500000,2868.13000000,2872.35000000,2863.33000000,2865.98000000,3729.01970000,1769396399999
1769396400000,2865.98000000,2872.49000000,2864.90000000,2866.60000000,2409.79790000,1769397299999
1769397300000,2866.59000000,2867.00000000,2853.36000000,2853.87000000,6460.39700000,1769398199999
1769398200000,2853.88000000,2855.57000000,2843.27000000,2848.18000000,4603.24650000,1769399099999
1769399100000,2848.19000000,2850.69000000,2840.89000000,2850.68000000,4754.73380000,1769399999999
1769400000000,2850.69000000,2859.28000000,2849.91000000,2857.28000000,3559.22900000,1769400899999
1769400900000,2857.29000000,2875.77000000,2856.47000000,2872.10000000,6500.98590000,1769401799999
1769401800000,2872.10000000,2875.36000000,2863.45000000,2863.45000000,3692.03730000,1769402699999
1769402700000,2863.46000000,2869.72000000,2862.12000000,2865.98000000,2602.22370000,1769403599999
1769403600000,2865.97000000,2868.03000000,2859.92000000,2862.32000000,5071.24190000,1769404499999
1769404500000,2862.32000000,2869.11000000,2862.32000000,2868.16000000,2993.62080000,1769405399999
1769405400000,2868.17000000,2871.50000000,2864.81000000,2868.18000000,4076.05810000,1769406299999
1769406300000,2868.18000000,2873.32000000,2866.44000000,2869.65000000,2738.28140000,1769407199999
1769407200000,2869.66000000,2875.47000000,2867.36000000,2867.81000000,4186.79100000,1769408099999
1769408100000,2867.81000000,2883.96000000,2866.06000000,2881.62000000,5496.75030000,1769408999999
1769409000000,2881.62000000,2888.23000000,2878.80000000,2888.22000000,4849.26960000,1769409899999
1769409900000,2888.23000000,2891.83000000,2884.89000000,2891.64000000,5096.53320000,1769410799999
1769410800000,2891.64000000,2897.60000000,2886.08000000,2894.22000000,5048.79740000,1769411699999
1769411700000,2894.22000000,2911.61000000,2892.49000000,2894.52000000,8094.57580000,1769412599999
1769412600000,2894.52000000,2902.00000000,2889.49000000,2896.95000000,3464.31520000,1769413499999
1769413500000,2896.95000000,2907.38000000,2896.52000000,2904.32000000,2978.81910000,1769414399999
1769414400000,2904.32000000,2909.58000000,2899.29000000,2899.30000000,4250.44820000,1769415299999
1769415300000,2899.29000000,2934.40000000,2897.14000000,2915.92000000,16655.93430000,1769416199999
